Название,ID,Тип_алкоголя,Категория,Изображение,Бокал,Ингредиент1,Ингредиент2,Ингредиент3,Ингредиент4,Ингредиент5,Инструкция,Мера1,Мера2
Rum Toddy,12097,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/athdk71504886286.jpg,Олд-фэшн,Rum,Powdered sugar,Lemon peel,Water,0,Растворить сахарную пудру в воде в старомодном стакане. Добавьте ром и один кубик льда и перемешайте. Добавьте поворот лимонной кожуры и подайте.,2 унция light or dark ,2 чайная ложка 
Russian Spring Punch,17214,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/ctt20s1504373488.jpg,Хайбол,Vodka,Creme de Cassis,Sugar Syrup,Lemon Juice,0,"Вылейте ингредиенты в бокал с высоким мячом, сверху с игристым вином.",2.5 сантилитр,1.5 сантилитр
Rusty Nail,12101,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/yqsvtw1478252982.jpg,Олд-фэшн,Scotch,Drambuie,Lemon peel,0,0,"Вылейте шотландскую и драймей в старомодный стакан, почти наполненный кубиками льда. Хорошо перемешать. Украсить с лимонным поворотом.",1 1/2 унция ,1/2 унция 
Salty Dog,12107,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/4vfge01504890216.jpg,Хайбол,Grapefruit juice,Gin,Salt,0,0,"Вылейте все ингредиенты на кубики льда в бокал с высоким мячом. Хорошо перемешать и подавать. (Водка может быть заменена на джин, если предпочтительнее.)",5 унция ,1 1/2 унция 
San Francisco,15184,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/szmj2d1504889961.jpg,Хайбол,Vodka,Creme de Banane,Grenadine,Orange juice,0,"Возьмите высокий стакан и положите в несколько кубиков льда, наполните водку на него и наполните соком, а затем «крем», чтобы закончить заполнение гренадина, но очень осторожно на боковой стороне стекла, чтобы он был внизу. Украсить апельсином и клубникой.",2 сантилитр ,2 сантилитр 
Sangria #1,13020,Алкогольный,Пунш,http://www.thecocktaildb.com/images/media/drink/xrvxpp1441249280.jpg,Pitcher,Red wine,Sugar,Orange juice,Lemon juice,Cloves,Смешайте все вместе в кувшине и поставьте в холодильник. Добавьте гвоздики и коричные палочки по вкусу. Подавать в бокалах.,1 бутылка ,1/2 чашка 
Sangria - The World's Best,13026,Алкогольный,Пунш,http://www.thecocktaildb.com/images/media/drink/vysywu1468924264.jpg,Pitcher,Red wine,Sugar,Lemon,Orange,Apple,"Смешайте вино, сахар и фрукты и дайте сидеть в холодильнике в течение 18-24 часов. Смесь будет иметь несколько сироповую последовательность. Прежде чем подавать, перемешайте в бренди и порежьте смесь содовой водой, пока она не получит более тонкое, больше вина, похожего на консистенцию. Подавать от кувшина в бокалах.",1 1/2 L ,1 чашка 
Sazerac,12127,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/vvpxwy1439907208.jpg,Олд-фэшн,Ricard,Sugar,Peychaud bitters,Water,Bourbon,"Промойте охлажденный старомодный стакан с абсент, добавьте измельченный лед и отложите его в сторону. Размешайте оставшиеся ингредиенты на льду и отложите его в сторону. Откажитесь от льда и любого избыточного абсента из приготовленного стекла и разделите напиток в стакан. Добавьте лимонную кожуру для гарнира.",1 чайная ложка ,1/2 чайная ложка superfine 
Scooter,12130,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/twuptu1483388307.jpg,Коктейльный бокал,Brandy,Amaretto,Light cream,0,0,"Хорошо встряхните все ингредиенты с потрескавшимся льдом, напрягайтесь в коктейль -стакане и подайте.",1 унция ,1 унция 
Scotch Cobbler,12138,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/1q7coh1504736227.jpg,Олд-фэшн,Scotch,Brandy,Curacao,Orange,Mint,"Налейте скотча, бренди и курасао по льду в старомодный стакан. Добавьте оранжевый ломтик, сверху с веточкой мяты и подайте.",2 унция ,4 dashes 
Scotch Sour,12158,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/0dnb6k1504890436.jpg,Бокал для виски сауэр,Scotch,Lime,Powdered sugar,Lemon,Cherry,"Встряхните скотч, сок лайма и сахарную пудру со льдом и напрягайтесь в кислый стакан виски. Украсьте лимоном 1/2 среза, вверху с вишней и подайте.",1 1/2 унция ,Juice of 1/2 
Scottish Highland Liqueur,12854,Алкогольный,Домашний ликер,http://www.thecocktaildb.com/images/media/drink/upqvvp1441253441.jpg,Collins Glass,Johnnie Walker,Honey,Angelica root,Fennel seeds,Lemon peel,"Объедините все Ingreds в стареющем контейнере. Плотно накройте и нежно встряхните несколько раз в течение первых 24 часов. Через 24 часа удалите лимонную цедру. Накрыть снова и оставить в прохладном, темном месте в течение 2 недель, мягко встряхивая через день. Процедить через проволочное сито, чтобы удалить корень Анжелики и фенхель. Вернитесь в стареющий контейнер, накрыть крышкой и оставьте нетронутым в прохладном темном месте в течение 6 месяцев. Сифон или залейте чистый ликер в стерильную бутылку. Облачные отбросы могут быть сохранены для приготовления пищи.",1 fifth ,1 1/2 чашка mild 
Screaming Orgasm,13625,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/x894cs1504388670.jpg,Коктейльный бокал,Vodka,Bailey's irish cream,Kahlua,0,0,"Залейте первую водку, затем Бейли, затем Кахлуа в коктейльный стакан над измельченным льдом. Помешивать. Внимание: используйте только высококачественную водку. Дешевая водка может привести к смягчению Бейли. Проверьте свою марку водки, смешивая по 1 ч. Л. Каждая из водки и первого Бейли.",1 унция ,1 1/2 унция 
Screwdriver,12162,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/8xnyke1504352207.jpg,Хайбол,Vodka,Orange juice,0,0,0,Смешайте в бокале с высоким мячом со льдом. Украсить и служить.,2 унция ,0
Sea breeze,13377,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/7rfuks1504371562.jpg,Хайбол,Vodka,Cranberry juice,Grapefruit juice,0,0,"Постройте все ингредиенты в бокале с высоким током, наполненным льдом. Украсить с лаймовым клинком.",1 1/2 унция ,4 унция 
Sex on the Beach,12754,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/twsvwr1469092365.jpg,Хайбол,Vodka,Peach schnapps,Cranberry juice,Grapefruit juice,0,"Постройте все ингредиенты в бокале с высоким током, наполненным льдом. Украсить апельсиновым ломтиком.",1 унция ,3/4 унция 
Shanghai Cocktail,12186,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/ttyrxr1478820678.jpg,Коктейльный бокал,Light rum,Anisette,Grenadine,Lemon,0,"Встряхните все ингредиенты со льдом, напрягайтесь в коктейльный стакан и подайте.",1 унция Jamaican ,1 чайная ложка 
Shark Attack,16273,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/uv96zr1504793256.jpg,Pitcher,Lemonade,Water,Vodka,0,0,"Смешайте лимонад и воду в соответствии с инструкциями на задней части банки. Если в инструкциях говорится, что добавить 4 1/3 банок воды сделайте это. Смешайте в кувшин. Добавить 1 1/2 чашки водки (абсолют). Хорошо перемешать. Вылейте в стакан из разбитого льда. Отличный!",1 банка ,3 cans 
Sherry Eggnog,12188,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/xwrpsv1478820541.jpg,Коллинз,Sherry,Powdered sugar,Egg,Milk,Nutmeg,"Встряхните херес, сахарную пудру, яйцо со льдом и напрягайтесь в стакане Коллинза. Наполните молоком и перемешайте. Посыпать мускатный орех сверху и подавать.",2 унция cream ,1 чайная ложка 
Sherry Flip,12190,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/qrryvq1478820428.jpg,Бокал для виски сауэр,Sherry,Light cream,Powdered sugar,Egg,Nutmeg,Встряхните все ингредиенты (кроме мускатного ореха) со льдом и напрягайтесь в кислый стакан виски. Посыпать мускатный орех сверху и подавать.,1 1/2 унция cream ,2 чайная ложка 
Shot-gun,16985,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/2j1m881503563583.jpg,Шот,Jim Beam,Jack Daniels,Wild Turkey,0,0,"Вылейте одну часть Джека Дейнила и одну часть Джима Луча в стекло выстрела, а затем напредит дикую индейку.",1 часть ,1 часть 
Sidecar,12196,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/stwxuq1439906852.jpg,Коктейльный бокал,Cognac,Cointreau,Lemon juice,0,0,"Вылейте все ингредиенты в коктейльный шейкер, наполненный льдом. Хорошо встряхните и напрягайтесь в коктейльный стакан.",2 унция ,1/2 унция 
Sidecar Cocktail,12198,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/ewjxui1504820428.jpg,Коктейльный бокал,Brandy,Triple sec,Lemon,0,0,"Встряхните все ингредиенты со льдом, напрягайтесь в коктейльный стакан и подайте.",1 унция ,1/2 унция 
Singapore Sling,12214,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/tvtrrt1439906288.jpg,Бокал ураган,Cherry brandy,Grenadine,Gin,Sweet and sour,Carbonated water,"Вылейте все ингредиенты в коктейльный шейкер, наполненный кубиками льда. Встряхнуть хорошо. Процедить в бокал с высоким мячом. Украсить ананасом и коктейльной вишней.",1/2 унция ,1/2 унция 
Sloe Gin Cocktail,12224,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/d7mo481504889531.jpg,Коктейльный бокал,Sloe gin,Dry Vermouth,Orange bitters,0,0,"Размешайте все ингредиенты со льдом, напрягайтесь в коктейль -стакане и подайте.",2 унция ,1/4 чайная ложка 
Smut,17141,Алкогольный,Пунш,http://www.thecocktaildb.com/images/media/drink/rx8k8e1504365812.jpg,Beer mug,Red wine,Peach schnapps,Pepsi Cola,Orange juice,0,Берегите все это вместе и подайте очень холодно.,1/3 часть ,1 шот 
Snake Bite (UK),13389,Алкогольный,Пиво,http://www.thecocktaildb.com/images/media/drink/xuwpyu1441248734.jpg,Пинта,Lager,Cider,0,0,0,Вылейте ингредиенты в пинту. Напиток. Упасть.,1/2 пинта ,1/2 пинта sweet or dry 
Snakebite and Black,15789,Алкогольный,Пиво,http://www.thecocktaildb.com/images/media/drink/rssvwv1441248863.jpg,Пинта,Lager,Cider,Blackcurrant squash,0,0,Поместите сквош Blackcrant в стекле в течение примерно 1 см. Затем добавьте больший и сидр один за другим.,1/2 пинта ,1/2 пинта 
Snowball,14195,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/7ibfs61504735416.jpg,Хайбол,Advocaat,Lemonade,Lemon,Ice,0,Поместите один кубик в стекле и добавьте 1 1/2 унции Advocaat. Заполните стакан лимонадом и украсьте кусочком лимона. Служить одновременно.,1 1/2 унция ,8-10 унция cold 
Sol Y Sombra,12256,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/3gz2vw1503425983.jpg,Снифтер для бренди,Brandy,Anisette,0,0,0,"Встряхните ингредиенты со льдом, напрягайтесь в бренди, и подайте. (Английский перевод названия этого напитка - «Солнце и тень», и после выборки этого напитка вы поймете, почему. Спасибо, Кирби.)",1 1/2 унция ,1 1/2 унция 
Space Odyssey,15226,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/vxtjbx1504817842.jpg,Хайбол,151 proof rum,Malibu rum,Pineapple juice,Orange juice,Grenadine,Заполните стекло льдом и добавьте снимки бакарди и малибу. Добавьте всплеск ананасового сока и сверху апельсиновым соком. Добавьте гренадин для цвета и гарнира с вишней.,1 шот Bacardi ,1 шот 
Spanish chocolate,12750,Безалкогольный,Какао,http://www.thecocktaildb.com/images/media/drink/pra8vt1487603054.jpg,Кофейная кружка,Milk,Chocolate,Cinnamon,Egg yolk,0,"Размешайте молоко шоколадом и корицей на медленном огне, пока шоколад не растворится. Добавьте яйца и взбейте смесь, пока она не станет густой, не стараясь не кипятить. Подавать в кофейной кружке.",2 cups ,2 унция sweet 
Spiced Peach Punch,13032,Безалкогольный,Пунш,http://www.thecocktaildb.com/images/media/drink/qxvypq1468924331.jpg,Collins Glass,Peach nectar,Orange juice,Brown sugar,Cinnamon,Cloves,"Смешайте нектар персика, апельсиновый сок и коричневый сахар в большой кастрюле. Свяжите корицу и гвоздику в маленькой мешке. Попасть в кастрюлю. Нагрейте медленно, постоянно помешивая, пока сахар не растворится. Варить 10 минут. Добавьте сок лайма. Подавать в горячих кружках.",46 унция ,20 унция 
Spiking coffee,12780,Безалкогольный,Кофе/Чай,http://www.thecocktaildb.com/images/media/drink/isql6y1487602375.jpg,Кофейная кружка,Coffee,Cinnamon,0,0,0,"Между прочим, щепотка корицы действительно является хорошим дополнением к кофе, но истинное небеса - семя кардамона. Конечно, вы подаете его в кофейной кружке.","
", 
Spritz,17215,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/j9evx11504373665.jpg,Old-Fashioned glass,Prosecco,Campari,Soda Water,0,0,"Построить в стекло на льду, украсить и подавать.",6 сантилитр,4 сантилитр
Stinger,17193,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/2ahv791504352433.jpg,Коктейльный бокал,Brandy,White Creme de Menthe,0,0,0,"Вылейте в смешанный стакан со льдом, перемешайте и напрягайтесь в коктейльный стакан. Также может быть подан на камнях в камне.",1 1/2 унция ,1/2 унция 
Stone Sour,12308,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/vruvtp1472719895.jpg,Бокал для виски сауэр,Apricot brandy,Orange juice,Sweet and sour,0,0,"Встряхните все ингредиенты со льдом, напрягайтесь в охлажденном виски кислый стакан и подайте.",1 унция ,1 унция 
Strawberry Daiquiri,12316,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/deu59m1504736135.jpg,Коктейльный бокал,Strawberry schnapps,Light rum,Lime juice,Powdered sugar,Strawberries,Вылейте все ингредиенты в шейкер с кубиками льда. Встряхнуть хорошо. Процедить в охлажденном коктейльном бокале.,1/2 унция ,1 унция 
Strawberry Lemonade,13036,Безалкогольный,Пунш,http://www.thecocktaildb.com/images/media/drink/spvvxp1468924425.jpg,Collins Glass,Lemon,Sugar,Strawberries,Water,0,"Бросьте все в блендер и перемешайте, пока не станет довольно гладким. Подавать над льдом.",Juice of 1 ,1 столовая ложка 
Strawberry Margarita,12322,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/tqyrpw1439905311.jpg,Коктейльный бокал,Strawberry schnapps,Tequila,Triple sec,Lemon juice,Strawberries,"Втирайте обод коктейльного бокала с лимонным соком и окуньте ободок в соль. Встряхните шнапс, текилу, тройной секунду, лимонный сок и клубника со льдом, напрягайтесь в стеклянном стекле и подайте.",1/2 унция ,1 унция 
Strawberry Shivers,12722,Безалкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/9h1vvt1487603404.jpg,Хайбол,Strawberries,Honey,Water,0,0,"Поместите все ингредиенты в банок блендера - накрыть и взведите на среднюю скорость, пока не смешано. Вылейте один высокий, 2 среднего или 3 маленьких стакана и выпейте.",1 1/2 чашка ,4 чайная ложка 
Sunny Holiday Punch,13042,Опционально алкогольный,Пунш,http://www.thecocktaildb.com/images/media/drink/rywtwy1468924758.jpg,Пунш-боул,Pineapple juice,Club soda,Orange juice,Lemon,Berries,Смешайте все ингредиенты в чаше.,46 унция chilled ,28 унция 
Surf City Lifesaver,12760,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/2rzfer1487602699.jpg,Хайбол,Ouzo,Bailey's irish cream,Gin,Grand Marnier,0,Много льда и газировки в высоком стекле с вишней и улыбкой.,1 часть ,1 часть 
Swedish Coffee,15521,Алкогольный,Кофе/Чай,http://www.thecocktaildb.com/images/media/drink/ywtrvt1441246783.jpg,Coffee Mug,Coffee,Aquavit,Sugar,0,0,Вылейте кофе в обычную кофейную чашку. Добавьте аквавит. Добавить сахар по вкусу. Перемешайте и хорошего вечера (утро),1 чашка,4 сантилитр 
Sweet Bananas,12724,Безалкогольный,Молочный/Шейк,http://www.thecocktaildb.com/images/media/drink/sxpcj71487603345.jpg,Highball Glass,Milk,Banana,Honey,0,0,"Поместите все ингредиенты в банок блендера - накрыть и взведите на среднюю скорость, пока не смешано. Вылейте один высокий, 2 среднего или 3 маленьких стакана и выпейте.",2 cups ,1 
Sweet Sangria,13024,Алкогольный,Пунш,http://www.thecocktaildb.com/images/media/drink/uqqvsp1468924228.jpg,Pitcher,Red wine,Sugar,Water,Apple,Orange,"Растворить сахар в горячей воде и охладить. Очистить цитрусовые и разбить в клинья. Смешайте вино, сахарный сироп, фрукты и фреску в кувшин и поместите в холодильник на несколько часов. Подавать в высоких очках с соломой.",2 bottles ,1 чашка 
Sweet Tooth,16990,Алкогольный,Молочный/Шейк,http://www.thecocktaildb.com/images/media/drink/j6rq6h1503563821.jpg,Highball Glass,Godiva liqueur,Milk,0,0,0,"Положите 2 выстрела Godiva Liquour в стакан, добавьте столько или столько молока, сколько захотите.",2 shots ,"
"
Talos Coffee,14860,Алкогольный,Кофе/Чай,http://www.thecocktaildb.com/images/media/drink/rswqpy1441246518.jpg,Снифтер для бренди,Grand Marnier,Coffee,0,0,0,"Добавьте свой GM, а затем добавьте свой кофе.",3 parts ,1 часть 
Tennesee Mud,15515,Алкогольный,Кофе/Чай,http://www.thecocktaildb.com/images/media/drink/txruqv1441245770.jpg,Coffee Mug,Coffee,Jack Daniels,Amaretto,Whipped cream,0,"Смешайте кофе, Джек Дэниелс и Амаретто. Добавить сливки сверху.",8 унция ,4 унция 
Tequila Fizz,12362,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/2bcase1504889637.jpg,Коллинз,Tequila,Lemon juice,Grenadine,Egg white,Ginger ale,"Встряхните все ингредиенты (кроме имбирного эля) со льдом и напрягайтесь в стакан коллинза над кубиками льда. Заполните имбирным элем, перемешайте и подайте.",2 унция ,1 столовая ложка 
Tequila Sour,12370,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/ek0mlq1504820601.jpg,Бокал для виски сауэр,Tequila,Lemon,Powdered sugar,Lemon,Cherry,"Встряхните текилу, сок лимона и сахарную пудру со льдом и напрягайтесь в кислый стакан виски. Добавьте половину склада лимона, вершина с вишней и подайте.",2 унция ,Juice of 1/2 
Tequila Sunrise,13621,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/quqyqp1480879103.jpg,Хайбол,Tequila,Orange juice,Grenadine,0,0,"Вылейте текилу и апельсиновый сок в стекло на льду. Добавьте гренадин, который погрузится в дно. Аккуратно перемешайте, чтобы создать эффект восхода солнца. Украсить и служить.",2 measures ,0
Tequila Surprise,14602,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/8189p51504735581.jpg,Шот,Tequila,Tabasco sauce,0,0,0,Заполните выстрел стеклом текилой. Добавьте капли соуса Tobasco.,full бокал ,About 8 drops 
Texas Rattlesnake,15178,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/rtohqp1504889750.jpg,Хайбол,Yukon Jack,Cherry brandy,Southern Comfort,Sweet and sour,0,"Смешайте все ингредиенты и хорошо встряхните. Сначала сладко, с укусом в конце ...",1 часть ,1/2 часть 
Texas Sling,15639,Алкогольный,Молочный/Шейк,http://www.thecocktaildb.com/images/media/drink/ypl13s1504890158.jpg,Wine Glass,Kahlua,Irish cream,Amaretto,151 proof rum,Cream,"Смешайте со льдом до гладкого. Подавать в тульпском стакане, сверху со взлетно -кремом.",1/2 унция ,1/2 унция 
Thai Coffee,12782,Безалкогольный,Кофе/Чай,http://www.thecocktaildb.com/images/media/drink/wquwxs1441247025.jpg,Хайбол,Coffee,Coriander,Cardamom,Sugar,Whipping cream,"Поместите кофе и специи в конус фильтра вашей кофеварки. Приготовьте кофе как обычно, дайте ему остыть. В высоком стакане растворить 1 или 2 чайные ложки сахара в унции кофе (его легче растворить, чем если вы положите его прямо на лед). Добавьте 5-6 кубиков льда и налейте кофе примерно в 1 дюйм от вершины стакана. Оставьте ложку поверх кофе и медленно налейте взбитые сливки в ложку. Это заставит крем плавать на кофе, а не рассеиваться в него сразу.",6 столовая ложка ground,1/4 чайная ложка 
Thai Iced Coffee,12784,Безалкогольный,Кофе/Чай,http://www.thecocktaildb.com/images/media/drink/rqpypv1441245650.jpg,Хайбол,Coffee,Sugar,Cream,Cardamom,0,"Приготовьте кастрюлю с кофе в хорошей европейской силе. В наземный кофе добавьте 2 или 3 свежеприземленных капсула кардамона. Подсластите, пока жарко, затем быстро охлаждается. Подавать в бокале с высоким мячом над льдом, со сливками. Чтобы получить многослойный эффект, поместите ложку на кофе и осторожно вылейте молоко в ложку, чтобы она плавала на вершине кофе.",black,"
"
Thai Iced Tea,12786,Безалкогольный,Кофе/Чай,http://www.thecocktaildb.com/images/media/drink/trvwpu1441245568.jpg,Хайбол,Tea,Water,Condensed milk,Ice,Mint,"Смешайте тайский чай (то есть порошок), кипящую воду и подслащенное сгущенное молоко, перемешайте до смешивания. Вылейте в 2 высоких стакана, наполненных кубиками льда. Украсить с листьями мяты. Делает 2 порции.",1/4 чашка Thai ,1/2 чашка boiling 
The Evil Blue Thing,16271,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/ojnpz71504793059.jpg,Олд-фэшн,Creme de Cacao,Blue Curacao,Light rum,0,0,"Вылейте ингредиенты в стекло и бросьте в синий кит! Голубой кит действительно не нужен, но это делает напиток более «веселым».",1 1/2 унция ,1 унция 
Thriller,12388,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/rvuswq1461867714.jpg,Коктейльный бокал,Scotch,Wine,Orange juice,0,0,"В шейкере, наполовину заполненном кубиками льда, объедините все ингредиенты. Встряхнуть хорошо. Процедить в коктейльный стакан.",1 1/2 унция ,1 унция Green Ginger 
Tia-Maria,12856,Алкогольный,Домашний ликер,http://www.thecocktaildb.com/images/media/drink/sih81u1504367097.jpg,Collins Glass,Water,Brown sugar,Coffee,Rum,Vanilla extract,"Варкируйте воду, сахар и кофе в течение 10 минут и дайте остыть. Добавить ром и ваниль. Поместите в чистую бутылку (ы) и оставьте на 1 неделю перед использованием.",1 чашка ,3/4-1 чашка 
Tom Collins,12402,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/qystvv1439907682.jpg,Коллинз,Gin,Lemon juice,Sugar,Club soda,Maraschino cherry,"В шейкере, наполовину заполненном кубиками льда, объедините джин, лимонный сок и сахар. Встряхнуть хорошо. Процедить в стеклянную алома Коллинза, наполненную кубиками льда. Добавить клубную газировку. Перемешайте и украсьте вишней и оранжевым ломтиком.",2 унция ,1 унция 
Tomato Tang,12726,Безалкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/869qr81487603278.jpg,Хайбол,Tomato juice,Lemon juice,Celery salt,0,0,"Поместите все ингредиенты в банок блендера - накрыть и взведите на среднюю скорость, пока не смешано. Вылейте один высокий, 2 среднего или 3 маленьких стакана и выпейте.",2 cups ,1-2 столовая ложка 
Tommy's Margarita,17216,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/loezxn1504373874.jpg,Old-Fashioned glass,Tequila,Lime Juice,Agave syrup,0,0,Встряхнуть и напрячься в охлажденный коктейльный стакан.,4.5 сантилитр,1.5 сантилитр
Turf Cocktail,12418,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/utypqq1441554367.jpg,Коктейльный бокал,Dry Vermouth,Gin,Anis,Bitters,Orange peel,Размешайте все ингредиенты (кроме апельсиновой кожуры) со льдом и напрягайтесь в коктейль -стакане. Добавьте поворот апельсиновой кожуры и подайте.,1 унция ,1 унция 
Turkeyball,15006,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/rxurpr1441554292.jpg,Шот,Wild Turkey,Amaretto,Pineapple juice,0,0,Встряхните со льдом и напрягайтесь в бокале.,1 унция ,3/4 унция 
Tuxedo Cocktail,12420,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/4u0nbl1504352551.jpg,Коктейльный бокал,Dry Vermouth,Gin,Maraschino liqueur,Anis,Orange bitters,Размешайте все ингредиенты со льдом и напрягайтесь в коктейльный стакан. Украсить вишней и изюминку из -за лимонной цедры.,1 1/2 унция ,1 1/2 унция 
Valencia Cocktail,12434,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/9myuc11492975640.jpg,Коктейльный бокал,Apricot brandy,Orange juice,Orange bitters,0,0,"Встряхните все ингредиенты со льдом, напрягайтесь в коктейльный стакан и подайте.",1 1/2 унция ,1 столовая ложка 
Vampiro,17217,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/yfhn371504374246.jpg,Old-Fashioned glass,Tequila,Tomato Juice,Orange Juice,Lime Juice,Sugar Syrup,"Вампиро можно сделать в высоком стекле или старомодном стекле. Бармены могут сначала «ограбить» стакан с кошерной солью, которая выполняется путем размещения слоя кошерной соли на рубку, увлажняя стеклянный обод с соком лайма или водой, а затем помещая вверх по стеклянному ободу на кошерную соль, чтобы соль прилипала к увлажненному ободу. Второй шаг - заполнить половину стакана льдом и добавить один или два бокала стрелка, полные высококачественной текилы. Следующий этап - добавить элементы ароматизации. Это делается путем сжатия свежей лайма в стекло, добавив несколько зерен соли, добавляя цитрусовые содовые поп, до тех пор, пока стакан не заполнится, а затем добавив острый Viuda de Sanchez (или апельсиновый сок, сок лайма и пико-де-галло). Последним шагом является размещение ингредиентов так, чтобы ароматы были должным образом смешаны.",6 сантилитр,3 сантилитр
Van Vleet,12436,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/fgq2bl1492975771.jpg,Олд-фэшн,Light rum,Maple syrup,Lemon juice,0,0,"Встряхните все ингредиенты со льдом, напрягайтесь в старомодном стакане над кубиками льда и подайте.",3 унция ,1 унция 
Vermouth Cassis,12442,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/tswpxx1441554674.jpg,Хайбол,Dry Vermouth,Creme de Cassis,Carbonated water,0,0,"Развивайте вермут и крем де Кассис в бокале с высоким мячом с кубиками льда. Наполните газированной водой, снова перемешайте и подайте.",1 1/2 унция ,3/4 унция 
Vesper,17218,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/mtdxpa1504374514.jpg,Коктейльный бокал,Gin,Vodka,Lillet Blanc,0,0,"Встряхните на льду до тех пор, пока не будет хорошо охлажден, затем напрягайтесь в глубоком кубке и украсьте тонким кусочком лимонной кожуры.",6 сантилитр,1.5 сантилитр
Vesuvio,12444,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/26cq601492976203.jpg,Олд-фэшн,Light rum,Sweet Vermouth,Lemon,Powdered sugar,Egg white,"Встряхните все ингредиенты со льдом, напрягайтесь в старомодном стакане над кубиками льда и подайте.",1 унция ,1/2 унция 
Veteran,12446,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/iwml9t1492976255.jpg,Олд-фэшн,Dark rum,Cherry brandy,0,0,0,"Вылейте ром и вишневый бренди в старомодный стакан, почти наполненный кубиками льда. Хорошо перемешать.",2 унция ,1/2 унция 
Victor,12450,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/voapgc1492976416.jpg,Коктейльный бокал,Gin,Sweet Vermouth,Brandy,0,0,"Встряхните все ингредиенты со льдом, напрягайтесь в коктейльный стакан и подайте.",1 1/2 унция ,1/2 унция 
Victory Collins,12452,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/lx0lvs1492976619.jpg,Коллинз,Vodka,Lemon juice,Grape juice,Powdered sugar,Orange,Встряхните все ингредиенты (кроме оранжевого ломтика) со льдом и напрягайтесь в стакан коллинза над кубиками льда. Добавьте кусок апельсина и подайте.,1 1/2 унция ,3 унция 
